Key,Translation,Version,Comment (context for translators)
space.object.info.SpaceStation,,,
slog.trade,,,{0} will be merchant details
merchant.inv.refresh.time,,,{0} is time range like 4 days 12 hours
market.group.name.BlackMarket,,,
market.group.name.BodyPart,,,
market.group.name.Energy,,,
market.group.name.Equipment,,,
market.group.name.Flora,,,
obj.materials.siliconwafer,,,
obj.materials.siliconwafer.desc,,,
sort.group,,,
obj.materials.stemcells,,,
obj.materials.stemcells.desc,,,
owned.count,,,Will be used in conjuction with a number of owned items in UI
market.group.name.Entertainment,,,
market.group.name.Software,,,
noun.attack.methods,,,Plural of Attack Method
attack.method.Bump,,,
attack.method.Jab,,,
attack.method.Punch,,,
attack.method.Cut,,,
attack.method.Scratch,,,
attack.method.Bite,,,
attack.method.ButtStrike,,,
attack.method.Shoot,,,
combat.goal.follow.leader,,,
combat.goal.attack.cpu,,,
combat.goal.find.cover,,,
combat.goal.find.best.pos,,,
combat.goal.hold.pos,,,
verb.searching.for,,,{0} is the name of the object
noun.table,,,
noun.surgery,,,
verb.going.to,,,{0} is some noun like Surgery
noun.combat.armies,,,plural of army
combat.unit,,,a technical term for a soldier
noun.combat.objective,,,as in combat mission
colony.tasks,,,
noun.time,,,
objects.furniture.weaponslocker,,,
objects.furniture.weaponslocker.desc,,,
water.type,Water,,"For refillable devices that use water (planters, showers)"
obj.materials.goldwire,Gouddraad,,
obj.materials.goldingot,,,
obj.materials.platinumingot,,,
obj.materials.silveringot,,,
obj.materials.gold,Goud,,
obj.materials.platinum,Platinum,,
obj.materials.silver,Zilver,,
obj.materials.goldwire.desc,,,
obj.materials.goldingot.desc,,,
obj.materials.platinumingot.desc,,,
obj.materials.silveringot.desc,,,
obj.materials.gold.desc,,,
obj.materials.platinum.desc,,,
obj.materials.silver.desc,"Een glanzend, reflecterend metaalerts.",,
obj.materials.microchip2,,,
obj.materials.microchip3,,,
obj.materials.microchip2.desc,,,
obj.materials.microchip3.desc,,,
research.production.metalpurification,,,
obj.materials.ice,Ijs,,
obj.materials.ice.desc,Bevroren water.,,
currency.mine.mem.tip,,,
copy.config.oxygen.pump,,,
situation.TimesOnFire,,,
modifier.StoryPace,,,
modifier.StoryPace.desc,,,
modifier.WakeUpRate,,,
modifier.WakeUpRate.desc,,,
food.nutrition.amt,Hoeveelheid Voeding,,
food.nutrition.amt.tip,,,
cond.Starvation,,,
stat.StomachCapacity,,,
stat.IntestinesCapacity,,,
cond.Depression,,,
situation.NumCombats,,,
situation.OngoingBuildTasks,,,
attack.method.BodySlam,,,
attack.method.Stab,,,
beings.pig01,,,
beings.pig01.desc,,,
bodypart.Arm.LegFrontPig,,,
bodypart.Body.BodyPig,,,
bodypart.Brain.BrainPig,,,
bodypart.Ear.EarPig,,,
bodypart.Eye.EyePig,,,
bodypart.Foot.TrotterRearPig,,,
bodypart.Hand.TrotterFrontPig,,,
bodypart.Head.HeadPig,,,
bodypart.Hip.HipPig,,,
bodypart.Jaw.JawPig,,,
bodypart.Leg.LegRearPig,,,
bodypart.Shoulder.ShoulderPig,,,
bodypart.Tail.TailPig,,,
role.FarmAnimal,,,
bodypart.Arm.LegFrontPig.desc,,,
bodypart.Body.BodyPig.desc,,,
bodypart.Brain.BrainPig.desc,,,
bodypart.Ear.EarPig.desc,,,
bodypart.Eye.EyePig.desc,,,
bodypart.Foot.TrotterRearPig.desc,,,
bodypart.Hand.TrotterFrontPig.desc,,,
bodypart.Head.HeadPig.desc,,,
bodypart.Hip.HipPig.desc,,,
bodypart.Jaw.JawPig.desc,,,
bodypart.Leg.LegRearPig.desc,,,
bodypart.Shoulder.ShoulderPig.desc,,,
bodypart.Tail.TailPig.desc,,,
copy.config.shower,,,
research.lifesupport.clonepig,,,
objects.cosmetics.rubberduck,,,
objects.cosmetics.rubberduck.desc,,,
objects.cosmetics.sculpturerocketwood,,,
objects.cosmetics.sculpturerocketwood.desc,,,
objects.devices.karaokemachine,,,
objects.devices.karaokemachine.desc,,,
species.Pig,,,
verb.admiring,,,Used when someone is looking at something interesting or pretty
act.admiring.object,,,{0} will be replaced by an object or being name. present tense
act.admired.object,,,{0} will be replaced by an object or being name. past tense
verb.admiring.view,,,
verb.admired.view,,,
verb.butcher,,,for killing a being for meat
saw.dead.body,,,negative mood effect name for seeing a dead body
trait.psychopath,,,
trait.psychopath.about,,,
role.Doctor,,,
market.group.name.RareUpgrade,,,
trait.paranoid,Paranoïde,,
trait.paranoid.about,,,
stat.Light,Licht,,will show a percentage of how well lit is the environment
env.wel.lit,Voldoende licht,,
env.too.dark,Te donker,,
tut.basic.controls.step.overlay.light,,,
modifier.NoResearchTiers,,,
modifier.NoResearchTiers.desc,,,
objects.devices.suicidebooth,,,
objects.devices.suicidebooth.desc,,,
act.use.suicide.booth,,,
suicide.booth.warn,,,
ability.RideBot,,,
ability.Work,Werken,,
overlay.tip.Health,Gezonheid,,
cond.Hyperthermia,,,
ability.Chew,,,
adj.stuck,,,Warning label when someone gets stuck
evt.cleaning.incident,Poetsongeluk,,
evt.cleaning.incident.desc,<b>{0}</b> had een ongeluk tijdens het proper maken van een <b>{1}</b>,,0 is name of the worker 1 is name of the device (usually Toilet)
obj.equipment.weapons.handgun01,,,
research.security.firearms,,,
obj.equipment.weapons.handgun01.desc,,,
obj.equipment.weapons.knife01,Mes,,
research.security.weaponsbasic,Basis wapens,,
obj.equipment.weapons.knife01.desc,Een veelzijdig survivalmes met een stevig lemmet en een ergonomische handgreep.,,
objects.devices.icemaker,Ijsmachine,,
objects.devices.icemaker.desc,Zet water om in ijs.,,
verb.freeze,Vriezen,,for making ice
noun.input,Invoer,,generic label for a button that selects some object to be used as input
noun.output,Uitvoer,,generic label for a button that selects some object to be used as output
noun.progress,Voortgang,,for progress bars in ui
mind.transfer,Breinoverdracht,,for a button that allows to copy a mind from one brain to another
state.loaded,Geladen,,a label in UI to show that an object is loaded into the device
state.waiting,Wachtend,,a label for an object that is waiting for processing or delivery
noun.slots,,,A slot is a space for some object or being
tut.basic.controls.step.overlay.health,,,
btn.join.our.community,Sluit aan bij onze community,,
btn.join.discord,Sluit aan bij ons Discord kanaal,,
warn.input.will.be.destroyed,,,
objects.devices.replicator,,,
objects.devices.replicator.desc,,,
noun.mental.breakdown,,,
adjective.new,Nieuw,,"For marking something as new. Could be a device, task, etc."
adjective.boosted,,,A label saying that some value or stat is temporarily increased
high.precision.ai,,,
high.precision.ai.tip,,,
focus.camera.on.events,,,
storing.allowed,,,label that shows that hauling to storage is allowed for an object
storing.forbidden,,,label that shows that hauling to storage is forbidden for an object
verb.allow,,,for allowing some action
verb.forbid,,,for forbidding some action
noun.quality,,,
ability.AnimalEat,,,synonym for eat in context of an animal eating on its own
research.relocation.advanced,,,
research.relocation.advanced.desc,,,
research.required,,,shown in a tooltip when something is not allowed because it requires unlocking some research first. {0} is the research name.
noun.beverage,,,a drink like coffee or tea
verb.drink,,,
combat.reaction,,,
verb.ignore,,,
verb.fight,,,
verb.flee,,,
noun.free.will,,,
objects.devices.mechuary,,,
objects.devices.morgue,,,
objects.devices.mechuary.desc,,,
objects.devices.morgue.desc,,,
noun.being.storage,,,
verb.store.being,,,
verb.send.to,,,"{0} is device name. it creates an order to send a being into a device. device types could be Morgue, Mechuary, Stasis Array, etc."
full.details,,,
noun.faction,,,
breakdown.cleaning.spree,,,
breakdown.cleaning.spree.desc,,,
object.in.storage,,,a label for something like a weapon in a weapons locker or a human in a morgue
sleep.disturbed.by.noise,Slaap onderbroken door lawaai,,
mood.effect.happy.to.be.alive,Blij om te leven,,
pref.auto.pause.danger,,,
select.all,Selecteer Alles,,for selecting a group of beings or objects of same type
item.state.equipped,,,
noun.owner,Eigenaar,,owner of an object or an item
order.go.to,Ga naar,,
verb.deselect,,,for unselecting selected beings or objects
object.selected,Geselecteed: {0},,{0} could be either count or a name of item or being
verb.reassign,,,For assigning a task to a different worker
adj.busy,Druk,,When worker is busy doing something else
cannot.interrupt,Niet te Onderbreken,,When worker is doing a non-interruptable task and we try to interrupt it
group.other,Andere,,Label for a group of objects or beings that don't fit any specific group
adj.controllable,Controleerbaar,,label for list of beings the player can control
adj.not.controllable,Niet Controleerbaar,,label for list of beings the player cannot control
body.state.unhealthy,Ongezond,,for body that could have missing or destroyed body parts. will show crutch icon next to this status
no.direct.control.short,,,A short label for action that cannot be performed due to the worker being uncontrollable by the player
modifier.CustomNames,,,
modifier.CustomNames.desc,,,
modifier.CustomNames.tip,,,
twitch.error.previous.test.running,,,
twitch.error.could.not.connect,,,
menu.settings.twitch,,,IMPORTANT! Never translate word Twitch - it is a video streaming service name (https://twitch.tv)
twitch.active,,,
twitch.bot.name,,,
twitch.bot.name.missing,,,
twitch.bot.name.placeholder,,,
twitch.bot.oauth,,,
twitch.bot.oauth.generate,,,
twitch.bot.oauth.generate.message,,,{0} is button label {1} is url
twitch.bot.oauth.generate.title,,,
twitch.bot.oauth.missing,,,
twitch.channel,,,
twitch.same.as.channel,,,
twitch.channel.name.missing,,,
twitch.channel.placeholder,,,
twitch.error,,,Don't translate word Twitch
twitch.integration.disabled,,,{0} will be the label of the checkbox
twitch.settings,,,Don't translate word Twitch
twitch.settings.invalid,,,
twitch.test.message.sent,,,
twitch.active.toggle.tip,,,
twitch.channel.name.tip,,,
twitch.bot.name.tip,,,
twitch.oauth.gen.tip,,,
twitch.test.cfg.tip,,,
twitch.delete.data,,,
twitch.delete.data.warn,,,{0} and {1} are numbers (counts)
overlay.tip.Twitch,,,
major.update.old.branch,,,
adj.forced,,,Label for forcefully assigned tasks
adj.temporary,,,Example use - label for a sofa as a sleeping place
hold.modifiers.bulk.change,,,"{0} will be replaced with something like Ctrl, Shift, Alt"
another.task.in.progress,,,{0} is order description
verb.euthanize,,,
being.group.worker,Werker,,Short name for top right group rectangle widget. Keep it under 9 characters or less or it will wrap and look ugly
being.group.colonist,Kolonist,,Short name for top right group rectangle widget. Keep it under 9 characters or less or it will wrap and look ugly
being.group.animal,Dier,,Short name for top right group rectangle widget. Keep it under 9 characters or less or it will wrap and look ugly
being.group.enemy,Vijand,,Short name for top right group rectangle widget. Keep it under 9 characters or less or it will wrap and look ugly
being.group.other,Andere,,Short name for top right group rectangle widget. Keep it under 9 characters or less or it will wrap and look ugly
combat.ended,,,
connector.ship.cpu.tip,,,{0} will be replaced with translation of Ship Computer
unidentified.object.appeared,,,
cond.CrawlerInfected.desc,,,
act.panic.desc,,,{0} is the name of being
tut.basic.controls.step.overlay.jobmatrix,,,
input.OpenJobs,,,
provides.abilities,,,
adds.needs,,,
provides.stats,,,
modifies.stats,,,
path.optimize.teleporters,,,
path.optimize.teleporters.tip,,,
obj.materials.pumpkin,,,
obj.meals.pumpkinsoup,,,
research.habitation.halloweendecorations,,,
obj.plants.pumpkin,,,
objects.cosmetics.pumpkinhead01,,,
obj.meals.pumpkinsoup.desc,,,
objects.cosmetics.pumpkinhead01.desc,,,
obj.plants.pumpkin.desc,,,
obj.materials.pumpkin.desc,,,
objects.cosmetics.skull01,,,
objects.cosmetics.skull01.desc,,,
objects.cosmetics.ghoststatue,,,
objects.cosmetics.ghoststatue.desc,,,
objects.cosmetics.coffin01,,,
objects.cosmetics.coffin01.desc,,,
uncomfortable.sleep,,,
objects.cosmetics.tombstone01,,,
objects.cosmetics.tombstone01.desc,,,
randomize.starting.sector,Willekeurige Sector,,label for button that select a random starting sector in the starmap
randomize.starting.sector.tip,Selecteer een willkeurige sector om te starten.,,
space.object.Sector,,,
space.object.Region,,,
noun.map.view,,,label for buttons that can switch the map view mode
noun.hyperjump,Hypersprong,,label for hyperjump details
exit.hyperspace,,,
noun.hyperspace,,,
enter.hyperspace,,,
verb.hyperjump,Voer Hypersprong uit,,action verb on a button that executes a hyperjump
unable.to.hyperjump,Hypersprong niet mogelijk,,
hyperjump.tip.expedition,,,
hyperjump.tip.copter,,,
noun.custom.location,,,
noun.current.destination,,,
enter.region,,,
enter.sector,,,
obj.materials.phasium,,,
obj.materials.phasium.desc,,,
market.group.name.Hyperfuel,,,
obj.materials.fusioncell,Fusie Cel,,
obj.materials.fusioncell.desc,,,
noun.hyperdrive,,,
hyperspace.missing.engine,,,
hyperspace.not.charged,,,
noun.hyperjump.charge,Hypersprong oplading,,Label for hyperdrive engine readiness percentage
hyperjumps.available,Beschikbare sprongen,,Label for the number of available hyperjumps
quest.step.use.hyperjump.relay,,,
quest.step.use.hyperjump.relay.tip,,,{0} is Hyperjump Relay name {1} is the menu option name you have to select to use it
space.object.HyperjumpRelay,Hyperruimte Poort,,
space.object.info.HyperjumpRelay,"Een gigantische ruimtestructuur die een krachtig energieveld genereert, waardoor schepen met onvoldoende motoren hypersprongen over lange afstanden kunnen uitvoeren.",,
quest.ProvideRepairStation,,,
quest.ProvideRepairStation.desc,,,
quest.StartAnExpedition,Start een Expeditie,,
quest.StartAnExpedition.desc,,,
quest.PerformHyperjump,Voer een Hyperruimte Sprong uit,,
quest.PerformHyperjump.desc,We kunnen niet voor eeuwig in deze sector blijven. Voer een korte afstand <b>Hypersprong</b> uit om de verdere regio te exploreren.,,
quest.PerformHyperjump.fusiondrive.tip,,,
quest.TradeWithSpaceStation,,,
quest.TradeWithSpaceStation.desc,,,
quest.VisitAnotherRegion,,,
quest.VisitAnotherRegion.desc,,,
quest.step.execute.trade.tip,,,
obj.materials.aerolith,Aeroliet,,
obj.materials.terranite,Terraniet,,
obj.materials.edenium,Edenium,,
obj.materials.hydronium,Hydronium,,
obj.materials.aerolith.desc,,,
obj.materials.terranite.desc,,,
obj.materials.edenium.desc,,,
obj.materials.hydronium.desc,,,
scenario.NoRobots,Geen Robots,,
scenario.NoRobots.tooltip,Bedien een schip met enkel mensen als bemanning. Een moeilijke start enkel aangeraden voor ervaren spelers.,,
objects.devices.storage,Opslagcontainer ({0}),2024-09-18,
space.effect.star,,,
space.effect.star.desc,,,{0} is percentage
obj.plants.artilleryfungus,Artilleriezwam,,
obj.plants.artilleryfungus.desc,"Een organisme dat sporen afvuurt en deze kleverige sporen razendsnel naar elk nabijgelegen oppervlak verspreidt, waarmee het een biologisch wapen nabootst dat in staat is om na verloop van tijd hele gebieden te bedekken.",,
space.effect.alien.lifeform,,,
space.effect.alien.lifeform.desc,,,
,,,
research.economy.onlineshop,,,
online.shop.unlocked,,,{0} is Online Shop
adj.available,,,
create.shop.order,,,
capsule.delivery,,,
capsule.delivery.tip,De goederen zullen geleverd worden bij uw schip via een <b>{0}</b>.,,{0} is Storage Capsule translation
exit.hyperspace.first,,,
shop.orders.pending.delivery,,,
shop.orders.delivered,,,plural
shop.orders.delivery.failed,,,
shop.order.wrong.location.tip,,,
shop.order.wrong.location,,,
shop.order.delivered,Geleverd,,singular
shop.order.lost,,,
shop.order.estimated.delivery,,,{0} is time
noun.price,,,
difficult.start.region.warning,,,
quest.ProvideEntertainment,,,
quest.ProvideEntertainment.desc,,,
story.wreck_empty_ship.intro.6,,2024-10-04,
noun.multiple.items,,,{0} will be a number above 1
craft.order.new,Nieuwe Opdracht,,label for a button that creates a new order for a device to produce something
craft.order.settings,Opdracht Instellingen,,label for crafting order settings
explosion.at,,,{0} is position coordinate
tut.prod.online.shop,,,
space.object.info.Asteroid,Een levenloze asteroïde die in de ruimte zweeft.,,
quest.available,Opdracht Beschikaar,,
quest.click.to.accept,,,
noun.strength,Sterkte,,
available.quests,Beschikbare Opdrachten,,
research.required.generic,,,{0} is research node name. for example Stock Market
cryostability.unstable.warning,,,
quest.MakeStasisAreaSurvivable,,,
quest.MakeStasisAreaSurvivable.desc,,,
quest.step.heat.area,,,{0} is device name
quest.step.heat.area.tip,,,{0} is device name {1} is temperature value
quest.step.oxygenate.area,,,{0} is device name
quest.step.oxygenate.area.tip,,,{0} is device name {1} is oxygen value
quest.step.dispose.corpses,Vernietig geïnfecteerde lichamen,2024-12-12,
quest.step.dispose.corpses.tip,,2024-12-12,{0} will be Alien Parasites translation
quest.DisposeOfDeadBodies,Vernietig geïnfecteerde lichamen,2024-12-12,
quest.DisposeOfDeadBodies.desc,,,
scan.hyperspace.warning,,,
space.object.info.Region,,,
space.object.AsteroidZone,Asteroïde Zone,,
space.object.info.AsteroidZone,"Een gebied vol rondvliegende rotsen en puin, bezaaid met grondstoffen voor de mijnbouw.",,
space.object.info.Sector,,,
quest.BuildRadar,,,
quest.BuildRadar.desc,,,
space.object.info.SpaceEvent,,,
objects.devices.tradeportal,,,
objects.devices.tradeportal.desc,,,
trade.portal.not.available,,,
trade.portal.required,,,
no.trade.portal,,,
trade.portal.ready,,,
space.object.TradeZone,,,
space.object.info.TradeZone,,,
noun.hyperjump.short,,,
noun.hyperjump.long,,,
goal.EnsureShipCPUVentilation.desc,,2024-10-16,
quest.EstablishProduction,Zet Productie op,,
quest.EstablishProduction.desc,Op een bepaald moment zullen we zonder materialen vallen, daarom moeten we manieren opzetten om ze te vervaardigen.,
quest.EstablishSmelting,Zet Smelten op,,
quest.EstablishSmelting.desc,De ertsen die we delven tijdens expedities moeten gesmolten worden tot platen of baren. Laat ons dit proces opzetten.,,
placement.tip.ports,,,
goal.GetMoreResource.desc,We hebben een tekort aan <b>{0}</b>. Gebruik de <b>Codex</b> om de ingrediënten te indentificeren en meer te produceren. Sommige materialen kunnen verkregen worden via mijnexpedities of aangekocht worden in de <b>Online Winkel</b> of op <b>Ruimtestations</b>.,2024-10-17,
click.to.enlarge,,,
evt.cooking.incident,,,
evt.cooking.incident.desc,,,{0} is being name
fight.ongoing,,,
fight.lost,,,{0} is the opponent name
fight.between,,,{0} and {1} are names
fight.with,,,{0} is the opponent name
evt.device.malfunction,Apparaatstoring: {0},,{0} is the device name
evt.device.malfunction.desc,{0} had een kritische storing. Uitbreiding met een Zekering zou de ernst op neveneffecten verminderd hebben.,,{0} is the device name
evt.blown.fuse,Zekering van {0} is gesprongen,,
evt.blown.fuse.desc,Ernstige schade aan het apparaat werd vermeden door de geïnstalleerde zekering. Vervang de zekering indien mogelijk.,,
obj.upgrades.fuseupgrade,Zekering,,
obj.upgrades.fuseupgrade.desc,Een zekering die neveneffecten vermeid bij apparaatstoringen.,,
blown.fuse,Gesprongen Zekering,,
verb.hacked,,,
evt.hacked,,,{0} will be a robot or device name
cond.Hacked.desc,,,
cond.Hacked,,,as in 'hacking in progress' or 'currently being hacked'
noun.cause,,,as in 'cause of death'
disease.immunity,,,{0} is the disease name
alien.bacteria.detected,,,
noun.developing.conditions,,,"Conditions that have not yet developed, but are in progress"
status.strong,,,Example: strong immunity
status.full,,,Example: full immunity
status.permanent,,,Example: permanent immunity
status.innate,,,Example: innate immunity
active.conditions,,,
telescope.found.planet,"De telescoop heeft een potentieel bewoonbare planeet gevonden in Regio {0}, Sector {1}. We moeten koers naar daar zetten van zodra mogelijk.<br><br>Terravorming kan nodig zijn om de planeet veilig te maken voor kolonisten. Ik stel voor om prioriteit te zetten op Terravorming technologie onderzoek.",2024-10-29,
must.open.first,Moet eerst geopend worden,,For requiring to open a storage capsule before performing another action
cond.Preoccupied,Bezet,,
cond.Preoccupied.desc,Dit wezen is bezet met iets belangrijks en zal tijdelijk uw opdrachten negeren.,,
space.object.Space,Lege Ruimte,,
region.no.hyperjump.relay,,,
space.object.info.Space,,,
stat.ImmunityGainRate,,,
stat.ImmunityLossRate,,,
enter.hyperspace.first,,,warning for trying to move in hyperspace while not in it
hyperdrive.not.running,,,
hyperdrives.running,,,label next to number of hyperdrives that are currently running (working)
hyperdrives.charge.hyperspace.tip,,,
hyperdrives.not.running.tip,,,
region.name,{0} Regio,,{0} is some name
sector.name,{0} Sector,,{0} is some name
sleep.deprivation,,,
developing.condition,,,"{0} is the condition name, {1} is percentage. example: Developing depression (23%)"
cond.Depression.desc,,,
effect.magnetic.storm,Magnetische Storm,,
effect.magnetic.storm.desc,Deze sector heeft een permanente magnetische storm. Sommige elektrische apparaten zullen met tussenpozen onderbrekingen ondervinden.,,
ev.magnetic.storm.desc,Er woedt een magnetische storm. Sommige elektrische apparaten zullen met tussenpozen onderbrekingen ondervinden.,,
effect.dust.storm.desc,,,
obj.materials.fusioncellheavy,,,
obj.materials.fusioncellheavy.desc,,,
preparing.for.hyperjump,,,
entered.hyperspace,Hyperruimte binnengegaan,,
left.hyperspace,,,as in exited hyperspace
enter.hyperspace.failed,,,
tut.spacetravel.name,Ruimtevaart,,
tut.spacetravel.desc,Leer uw ruimteschip besturen en de Sterrenkaart gebruiken.,,
tut.spacetravel.intro,Deze handleiding legt de basis uit rond ruimtevaart en introduceert de Sterrenkaart.,,
tut.spacetravel.step1.title,Motortypes,,
tut.spacetravel.step1_1,,,
tut.spacetravel.step1_2,,,
tut.spacetravel.step1_3,,,
tut.spacetravel.step1_4,,,
tut.spacetravel.step2.title,,,
tut.spacetravel.step2_1,,,
tut.spacetravel.step2_2_gamepad,,,
tut.spacetravel.step2_2,,,
tut.spacetravel.step2_3,,,
tut.spacetravel.step2_4,,,
tut.spacetravel.step2_5,,,
tut.spacetravel.step3.title,,,
tut.spacetravel.step3_1,,,
tut.spacetravel.step3_2,,,
tut.spacetravel.step3_2_2,,,
tut.spacetravel.step3_2_3,,,
tut.spacetravel.step3_3,,,
tut.spacetravel.step3_4,,,
tut.spacetravel.step3_5,,,
tut.spacetravel.step3_6,,,
tut.spacetravel.step3_7,,,
tut.spacetravel.step3_8,,,
tut.spacetravel.step3_9,,2025-09-22,"last change deleted the first half of this message, the rest is unchanged."
tut.spacetravel.step3_10,,,
tut.spacetravel.step4.title,,,
tut.spacetravel.step4_2,,,
tut.spacetravel.step4_3,,,
tut.spacetravel.step4_4,,,
tut.spacetravel.step4_5,,,
tut.spacetravel.step5.title,,,
tut.spacetravel.step5_1,,2024-12-03,
tut.spacetravel.step5_2,,2024-12-03,
tut.spacetravel.step5_2_2,,,
tut.spacetravel.step5_3,,2025-09-22,
tut.spacetravel.step5_4,,,
tut.spacetravel.step5_5,,,
tut.spacetravel.step5_6,,,
tut.spacetravel.step6.title,,,
tut.spacetravel.step6_1,, the <b>Map View</b> has switched to the local <b>Sector</b> layer. You can now use the <b>Thrusters</b> to reach the <b>Hyperjump Relay</b> in the center of this sector. Use {0} on the highlighted <b>Hyperjump Relay</b> to set it as the <b>Destination</b>.,
tut.spacetravel.step6_2,,,
tut.spacetravel.step6_3,,,
tut.spacetravel.step6_4,,,
tut.spacetravel.step6_5,,2025-09-22,last change: first part of the sentence deleted 
tut.spacetravel.step6_6,,2025-09-22,
tut.spacetravel.step6_7,,2025-09-22,
tut.spacetravel.outro,,,
obj.upgrades.speedupgrade.desc,,2024-11-15,
,,,
obj.upgrades.energyefficiencyupgrade.desc,,2024-11-15,
research.security.turretsheavy,,,
objects.devices.miniturret,,,
objects.devices.miniturret.desc,,,
tut.bodyparts.desc,,,
tut.bodyparts.intro,,,
tut.bodyparts.step1.title,,,
tut.bodyparts.step1_1,,,
tut.bodyparts.step1_2,,,
tut.bodyparts.step1_2_2,,,
tut.bodyparts.step1_3,,,
,,,
tut.bodyparts.step1_4,,,
tut.bodyparts.step1_5,,,"{0} is replaced with skull icon, doesn't affect translation"
,,,
tut.bodyparts.step2.title,,,
tut.bodyparts.step2_1,,,
tut.bodyparts.step2_2,,,"{0} is replaced with a cross icon, doesn't affect translation"
tut.bodyparts.step2_3,,,"{0} is replaced with a blood droplet icon, doesn't affect translation"
tut.bodyparts.step2_4,,,"{0} is replaced with a cross icon, doesn't affect translation"
tut.bodyparts.step2_5,,,"{0} is replaced with a cross icon, doesn't affect translation"
tut.bodyparts.step2_6,,,{0} will be the list of severities
tut.bodyparts.step2_6_2,,,{0} is crutch icon
tut.bodyparts.step2_7,,,{0} is crutch icon
tut.bodyparts.step2_8,,,{0} is crutch icon
tut.bodyparts.step2_9,,,
,,,
tut.bodyparts.step3_1,,,
tut.bodyparts.step3_2,,,
tut.bodyparts.step3_3,,,
tut.bodyparts.step4_1,,,
tut.bodyparts.step4_2,,,
tut.bodyparts.step4_3,,,
tut.bodyparts.step4_4,,,
tut.bodyparts.step5.title,,,
tut.bodyparts.step5_1,,,
tut.bodyparts.step5_2,,,
tut.bodyparts.step5_3,,,
tut.bodyparts.step5_4,,,
tut.bodyparts.step5_5,,,
tut.bodyparts.step5_6,,,
tut.bodyparts.step5_7,,,
tut.bodyparts.step6.title,,,
tut.bodyparts.step6_1,,,
tut.bodyparts.step6_2,,,
tut.bodyparts.step6_3,,,
tut.bodyparts.step6_4,,,
tut.bodyparts.step6_5,,,
tut.bodyparts.step6_6,,,
tut.bodyparts.step6_7,,,
tut.bodyparts.step6_8,,,
tut.bodyparts.step6_9,,,
tut.bodyparts.outro,,,
objects.devices.memorymodulemini.desc,,2024-11-19,
combat.goal.attack.turret,,,
combat.objective.survive,,,
noun.leader,,,
noun.follower,,,
noun.squad.role,,,
tut.close.panel.to.continue,,,
tut.combat.title,,,
tut.combat.desc,,,
tut.combat.outro,,,
tut.combat.step1.title,,,
tut.combat.step1_1,,,
tut.combat.step1_1_2,,,
tut.combat.step1_2,,,
tut.combat.step1_2_2,,,
tut.combat.step1_3,,,
tut.combat.step1_4,,,
tut.combat.step1_5,,,
tut.combat.step1_6,,,
tut.combat.step1_7,,,
tut.combat.step1_9,,,
tut.combat.step2.title,,,
tut.combat.step2_1,,,
tut.combat.step2_2,,,
tut.combat.step3_1,,,
tut.combat.step3_2,,,{0} will be replaced with an image of a mouse button
tut.combat.step3_3,,,
tut.combat.step4.title,,,
tut.combat.step4_1,,,
tut.combat.step4_2,,,{0} will be replaced with an image of a mouse button
tut.combat.step4_3,,,"{0} is ""control"" translation, {1} is ""select"" translation, both are button labels"
tut.combat.step4_3_2,,,{0} will be replaced with an image of a button
tut.combat.step4_4,,,{0} will be replaced with an image of a mouse button
tut.combat.step4_5,,,{0} will be replaced with an image of a mouse button
tut.combat.step4_6,,,
tut.combat.step4_6_2,,,
tut.combat.step4_7,,,
tut.combat.step4_8,,,
tut.combat.step5_1,,,
traded.item.too.hot,, your buying price has increased.,
traded.item.too.cold,, your selling price has decreased.,
codex.m.basebuilding.relocatingobjects.desc,,2024-11-22,Last changed removed a paragraph about skill checks.
codex.m.basebuilding.teleporters.desc,,2024-11-22,Last change removed a paragraph about trade and added a warning about performance.
codex.m.bigquestions.gameover.desc,,2024-11-22,Last change removed everything after the first sentence.
codex.m.colonists.breakdowns.desc,,2024-11-22,Last change replaced Mood with Sanity and added a paragraph about examining sanity factors
codex.m.electricity.managingunreachabledevices.desc,,2024-11-22,
codex.m.environment.fire.desc,,2024-11-22,
codex.m.environment.islands.desc,,2024-11-22,Last change removed statement that small sections are ignored
codex.m.resources.miningplanets.desc,,2024-11-22,
codex.m.spacetravel.enginetypes.desc,,2024-11-22,
input.ToggleDirectControl,,,
codex.m.whattodo.quests.desc,,,
goal.ConnectStasis,,,
goal.ConnectStasis.desc,,,
tut.basic.controls.step.overlay.tasks,,2024-11-23,
tut.basic.controls.1.title,Basis Bediening,,
tut.basic.controls.1.desc,Deze handleiding introduceert de basis van de Stadeus UI,,
tut.basic.controls.2.title,,,
tut.basic.controls.2.desc,,,
tut.basic.controls.3.title,,,
tut.basic.controls.3.desc,,,
compatible.body.sizes,,,
body.size.Small,,,
body.size.Medium,,,
body.size.Large,,,
noun.body.size,,,
body.part.species.compatibility,,,
species.type.biological,,,
species.type.robotic,,,
noun.mind,,,
objects.devices.nanobothive,,,
objects.devices.nanobothive.desc,,,
obj.materials.nanobots,,,
obj.materials.nanobots.desc,,,
nanobot.compatible,,,for labeling tasks that can be performed by nanobots
nanobot.reachable,,,for labeling tasks that are close enough to a nanobot hive
nanobot.unreachable,,,
cant.heal,,,for labeling wounds that cannot heal
gameplay.short.stat,,2024-11-30,last change removed color tags
tut.production.last.msg,,,
input.ToggleHyperspace,,,
hyperjump.cancelled,,,
story.wreck_empty_ship.intro.9,,,
